@RELATION WhereIsSmartphone
@ATTRIBUTE X_R_AVERAGE NUMERIC 
@ATTRIBUTE X_R_VARIANCE NUMERIC 
@ATTRIBUTE X_R_STD NUMERIC 
@ATTRIBUTE X_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_AVERAGE NUMERIC 
@ATTRIBUTE Y_R_VARIANCE NUMERIC 
@ATTRIBUTE Y_R_STD NUMERIC 
@ATTRIBUTE Y_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_AVERAGE NUMERIC 
@ATTRIBUTE Z_R_VARIANCE NUMERIC 
@ATTRIBUTE Z_R_STD NUMERIC 
@ATTRIBUTE Z_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_AVERAGE NUMERIC 
@ATTRIBUTE |V|_R_VARIANCE NUMERIC 
@ATTRIBUTE |V|_R_STD NUMERIC 
@ATTRIBUTE |V|_R_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE |V|_R_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_STD_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_STD_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Y_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_Z_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_R_|V|_R NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_R_|V|_R NUMERIC 
@ATTRIBUTE MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Y_R NUMERIC 
@ATTRIBUTE CORRELATION_X_R_Z_R NUMERIC 
@ATTRIBUTE CORRELATION_Y_R_Z_R NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA,BORSA,MARSUPIO,ZAINO}
@DATA
-0.20905586,6.1145706,2.4727657,16.60073,-3.5535278,0.030300735,2.4848974,1.5763557,9.27222,-1.0796776,10.058577,15.936538,3.9920592,17.962543,0.028142529,10.569683,14.037402,3.7466521,16.391783,0.14018688,-6.899366,-0.020783842,-0.01977882,0.0030124276,0.002866759,0.9516441,1.5686597,0.61942106,0.6599934,0.3948728,0.42073715,1.0655004,2.4606934,0.3836825,0.43559134,0.15592454,0.17701975,1.1352911,2.6912692,-24.906378,-4.847406,-9.25451,-1.80116,0.1946251,0.8176953,0.19724861,0.19123046,0.24122508,0.23386517,0.9694895,1.790373,0.924186,1.0127472,0.5161975,0.5656627,1.0958261,0.06707197,13.19931,-0.33592626,0.17026873,-0.4255945,TASCA_DESTRA_DAVANTI_PANTALONI
-0.059703555,4.871,2.207034,10.31571,-1.5551009,-0.31804925,1.6120418,1.2696621,6.043639,-1.2725784,10.092019,18.477566,4.298554,18.668753,0.16248009,10.395177,18.854538,4.342181,19.020693,0.18053812,0.18771796,-0.005915918,-0.00574339,-0.031514928,-0.030595848,0.9708367,1.7382846,0.51343644,0.5082778,0.2953696,0.2924019,0.9899527,3.0216336,0.26361698,0.2583463,0.08724319,0.08549888,0.9800063,1.8551775,-1.733522,-1.4982463,-0.93442386,-0.80760264,0.86427873,1.5181386,0.18112189,0.17393762,0.11930523,0.11457295,0.9603346,1.7068706,0.5525656,0.5423415,0.3237302,0.31774023,0.981497,0.06731471,12.810148,0.013797724,-0.3785957,-0.5029156,TASCA_DESTRA_DAVANTI_PANTALONI
-0.023242816,2.3262446,1.5252031,8.291527,-0.441804,-0.0046131555,2.0771878,1.4412452,7.153521,-1.3940414,10.053617,13.429954,3.66469,17.5139,0.10861444,10.29008,13.023394,3.608794,15.965596,0.19640945,5.038377,-0.002311886,-0.0022587595,-4.5885533E-4,-4.4831095E-4,0.97702026,1.0582538,0.41618884,0.42263514,0.3932789,0.3993703,1.0154889,1.119901,0.17321315,0.17862046,0.15466827,0.15949667,1.0312177,0.60994977,-1.1905649,-0.65109634,-1.9519066,-1.067459,0.5468802,1.9245983,0.2926921,0.28945297,0.15207958,0.15039656,0.98893327,1.1590832,0.47342548,0.5193371,0.4084482,0.4480585,1.0969776,0.0670243,12.424191,-0.114455484,0.2719468,-0.601702,TASCA_DESTRA_DAVANTI_PANTALONI
-0.09293234,3.0995247,1.7605467,10.924801,-0.87967336,0.4549357,1.9053535,1.3803455,8.754528,-1.5361677,10.153533,19.299334,4.3931007,18.67354,0.12523569,10.412214,19.199856,4.381764,18.7887,0.14514376,-0.20427577,-0.00915271,-0.00892532,0.044805657,0.043692503,0.97515595,1.2754391,0.40075263,0.4017895,0.31420755,0.3150205,1.0025873,1.6267452,0.16060269,0.1614348,0.09872639,0.09923791,1.0051812,0.9641824,-1.9124445,-1.6026938,-1.9834883,-1.662231,0.83803415,1.6837453,0.27226734,0.2644402,0.1617034,0.15705477,0.9712521,1.2479029,0.58504176,0.58145595,0.46881995,0.46594644,0.9938708,0.06776097,12.621929,-0.11385193,-0.25614753,-0.56116664,TASCA_DESTRA_DAVANTI_PANTALONI
0.064284064,1.441129,1.2004703,7.641183,-1.2651552,0.09846675,10.769187,3.2816439,15.81019,-0.6070298,10.231864,18.60348,4.313175,15.362507,0.13440287,10.793238,19.02468,4.361729,14.952188,0.20182826,0.6528505,0.0062827324,0.0059559573,0.00962354,0.009123004,0.9479884,0.3658137,0.27832636,0.27522808,0.7608418,0.7523722,0.9888682,0.13381967,0.077465564,0.0757505,0.57888025,0.56606406,0.97786033,0.7146333,-1.78917,-1.1287975,-2.5036197,-1.5795479,0.6309057,0.3428858,0.19007121,0.18007533,0.5543281,0.52517587,0.9474098,0.48330745,0.49739167,0.51104116,1.0291413,1.0573831,1.0274421,0.068216935,13.42887,0.3056445,-0.05314799,0.17675748,TASCA_DESTRA_DAVANTI_PANTALONI
0.24455559,3.2518594,1.8032913,10.13078,-0.9189131,0.07761185,2.0381372,1.4276334,8.129757,-1.823412,9.870796,19.02582,4.36186,17.338062,0.16842966,10.126935,19.259472,4.3885612,17.995491,0.16933367,3.1510084,0.02477567,0.024149023,0.007862775,0.0076639033,0.9747072,1.2631333,0.41342258,0.41090718,0.32729924,0.32530785,0.9939157,1.5955057,0.17091823,0.16884468,0.107124805,0.105825186,0.9878682,0.9240041,-1.3814714,-1.3224572,-1.4950923,-1.4312243,0.95728165,1.8335141,0.253213,0.24369717,0.13810256,0.13291262,0.9624196,1.2461357,0.5843087,0.5629621,0.4688965,0.45176634,0.963467,0.06582753,12.265766,-0.13301085,-0.3130726,-0.46758452,TASCA_DESTRA_DAVANTI_PANTALONI
-0.27802348,1.1541096,1.0742949,8.014187,-1.7977467,-0.14282915,0.44364944,0.66607016,3.9010403,-0.8841014,9.848305,2.925782,1.7104918,8.362753,0.45060456,9.934062,2.9248037,1.7102058,8.520678,0.44711363,1.9465458,-0.028230593,-0.027986888,-0.014502917,-0.014377719,0.99136734,1.6128855,0.628062,0.62816703,0.38940272,0.38946784,1.0001673,2.6014,0.39446193,0.39459386,0.15163448,0.1516852,1.0003345,2.8132045,-0.7507923,-0.74734896,-0.26688153,-0.2656575,0.9954138,1.3834865,0.18818581,0.18587153,0.13602288,0.13435009,0.9877021,2.0543716,0.95831925,0.9405575,0.46647802,0.45783216,0.9814657,0.065688424,11.0491905,0.07198154,0.027630549,0.5897271,TASCA_DESTRA_DAVANTI_PANTALONI
0.04947289,7.411174,2.722347,13.230642,-0.7025557,-0.07950941,4.439586,2.1070325,11.332918,-0.8767025,9.734245,14.232045,3.7725382,20.411528,-0.021509588,10.424744,12.171771,3.4888065,19.685028,0.042742975,-0.6222269,0.005082355,0.0047457176,-0.008168009,-0.0076269894,0.9337635,1.2920289,0.7216221,0.78030896,0.5585185,0.6039408,1.0813262,1.669339,0.5207385,0.6088821,0.31194296,0.36474445,1.1692666,1.0312449,12.702676,-6.2113805,12.317808,-6.0231867,-0.48898205,1.2868658,0.38890767,0.37789583,0.30221307,0.293656,0.9716852,1.1674523,0.6481946,0.672117,0.55522144,0.57571256,1.0369062,0.06807479,12.940741,-0.1507189,-0.42942932,-0.10255945,TASCA_DESTRA_DAVANTI_PANTALONI
0.13381138,6.2614083,2.5022807,14.592661,-0.9947193,-0.23855469,9.866555,3.1411073,22.438229,-0.64141476,9.641076,32.651264,5.7141285,25.142635,-0.049022563,10.462516,32.340202,5.686845,23.540041,0.04561989,-0.5609254,0.0138793,0.0127896,-0.024743576,-0.02280089,0.92148733,0.79662377,0.43791118,0.44001213,0.5497089,0.5523462,1.0047977,0.63460934,0.19176619,0.19361067,0.30217987,0.30508637,1.0096184,0.829935,6.1934304,-6.4671535,7.4625487,-7.7923613,-1.0441957,0.5351586,0.30522966,0.29659706,0.5703537,0.55422276,0.9717177,0.6503482,0.58039504,0.61990803,0.8924374,0.95319414,1.0680795,0.06606134,13.616583,-0.17122327,-0.33076328,-0.24489737,TASCA_DESTRA_DAVANTI_PANTALONI
-0.03473508,4.1647525,2.0407724,10.119229,-1.0600082,-0.105415404,8.763816,2.9603744,16.714024,-1.0443785,9.522244,13.263229,3.6418717,14.358032,0.1616451,10.186503,13.112418,3.6211073,14.141277,0.18096375,0.3295067,-0.0036477828,-0.0034099119,-0.011070437,-0.010348537,0.9347903,0.68936294,0.56036365,0.5635769,0.8128717,0.8175329,1.0057342,0.47522137,0.31400743,0.31761894,0.66076034,0.66836,1.0115014,0.6098318,-1.8808674,-1.6665202,-3.0842395,-2.732754,0.8860381,0.60083985,0.28682137,0.284507,0.47736737,0.4735155,0.991931,0.60543346,0.7047783,0.715581,1.1640887,1.1819317,1.0153278,0.06753824,13.449862,0.28233585,0.1555132,-0.15866147,TASCA_DESTRA_DAVANTI_PANTALONI
